tecnologia,sueldo,nombre_empresa
"MySQL</a>,Arquitectura de Información</a>,PHP</a>,NoSQL</a>","$2,500,",Ingeniería Latitud 33</span>
"MySQL</a>,Python</a>,Ruby</a>,PHP</a>,JavaScript</a>","$1,500,",Classroomtv.com</span>
"MySQL</a>,Arquitectura de Información</a>,PHP</a>,NoSQL</a>","$2,500,",Ingeniería Latitud 33</span>
"MySQL</a>,Git</a>,Symfony</a>,PHP</a>,Node.js</a>",,Leadsius</span>
Node.js</a>,"$2,000,",NED</span>
"WordPress</a>,CSS</a>,HTML5</a>,PHP</a>,JavaScript</a>","$1,000,",Avalancha</span>
"REST</a>,SQL</a>,Node.js</a>,NoSQL</a>",,NED</span>
"PostgreSQL</a>,Django</a>,Python</a>,Node.js</a>,JavaScript</a>",,SmartboxTV</span>
"MySQL</a>,Git</a>,SQL</a>,Python</a>,Laravel</a>","$2,200,",Tech-K</span>
JavaScript</a>,"$1,850,",Imagemaker</span>
"MySQL</a>,PostgreSQL</a>,SQL</a>",,Tech-K</span>
"Ruby on Rails</a>,JavaScript</a>,React</a>","$1,350,",4Talent</span>
"MySQL</a>,Git</a>,Node.js</a>,NoSQL</a>,JavaScript</a>","$1,800,",AnaliTIC</span>
"Android</a>,Java</a>","$1,300,",Case Surfer</span>
"C</a>,SQL</a>,Web server</a>","$1,300,",Boosmap</span>
"CSS</a>,jQuery</a>,PHP</a>,CodeIgniter</a>",,ZYGHT</span>
"PostgreSQL</a>,JSON</a>,.Net</a>,Agile</a>,C#</a>",,Concepto Group</span>
"PostgreSQL</a>,Node.js</a>,JavaScript</a>",,CSW Consultores Ambientales</span>
"WordPress</a>,Drupal</a>,PHP</a>,Laravel</a>",,Tsolutions</span>
"PostgreSQL</a>,Git</a>,REST</a>,Django</a>,Python</a>","$1,600,",Magnet</span>
"CSS</a>,HTML5</a>,Django</a>,Front-End</a>,JavaScript</a>","$1,400,",iPartner </span>
"CSS</a>,Front-End</a>,AngularJS</a>,JavaScript</a>","$1,600,",eClass</span>
